,full_text,sentiment
0,"A CUFA está em todo território nacional  e em parceria com a  vem fazendo a diferença nessa pandemia. Desde o início, mobilizando e contribuindo para minimizar os danos causados pela Covid-19. As doações e arrecadações permanecem. ",2
1,a segunda onda de covid tá vindo,2
2,Meus vizinhos encontraram a cura pro Covid e estão fazendo festa pra mais de 100 pra assistir o jogo do Re x Pa,1
3," Papa Francisco disse que ""fofocar é uma praga pior que a Covid-19"".

Já imaginaram se fosse BOLSONARO dizendo isso?

""Ain, inconsequente""
""Ain, desrespeitou os mortos""
""Ain, irresponsável""

- Ranfolfe Rodrigues já estaria no STF
- PSOL pedindo impeachment, etc",2
4, Nem na quarentena fiquei sem sol. Por isso acredito que eu e minha familia vencemos a covid sem tomarmos nenhuma medicação. Graças a Deus🙏,3
5,A minha pergunta sempre que se fala do covid ,2
6, KKKKKKKKKKKKK mundo sem covid eu era feliz e n sabia,1
7,"#Edicao15

Os repórteres da Globo, que viraram fiscais do Covid, ficam provocando o pessoal que está na praia, mas não falam nada da festa de aniversário do Huck, aonde as máscaras e o afastamento social foram para a casa do caralho.

Empresa fodida que faz jornalismo de ódio",1
8," Ah, sim! Pq ser tratados igual bicho não dá tempo de pegar covid, mas tirar um tempo para cuidar da saúde mental, se distrair, passear, se divertir e adquirir vitamina D de graça... aí não pode... Ain, tudo lotado vai pegar covid! Hipocrisia",1
9,Vocês receberam um e-mail dizendo que o covid acabou e pode voltar as aglomerações? Por que eu já olhei até no lixo eletrônico e não achei,1
10,"Um quarto dos brasileiros resiste à ideia de se vacinar contra Covid-19, diz Estadão  A ciência conduzida atabalhoadamente é pior que a falta de ciência (HCQ+AZIT+ZINCO+IVERM)",2
11," Para 67%, Bolsonaro não é o responsável pelas mortes por Covid-19.                       33% são parentes de deputados, senadores, governadores, prefeitos e ministros do STF",1
12,Duas opções de janta pra sua festa 126.266 mortes por covid e 4.123.000 casos de covid,1
13,Vocês tão tipo COVID já não existe fr,1
14,"  Isso é culpa do covid, fala isso para o vírus. ",1
15,"Revoltante!!! Você paga muito caro para assistir o Brasileirão. Liga a tv para se divertir, e a primeira coisa que a transmissão te mostra é um número falso, mentiroso, de vítimas fatais da Covid-19. Somos manipulados por um canal de tv. Absurdo!!! Até quando???",1
16,"""festa de viado doido"" é um termo que vou usar sempre, apenas reaplicando às novas realidades: covid, bomba nuclear, ataque zumbi, invasão alienígena, reeleição do bolsonaro...",1
17,Tudo que eu queria nessa minha vida é voltar pra apucarana. Pena que se eu falar de ir minha mãe surta falando que eu vou pegar covid no ônibus KKK A F,2
18,Tem umas pessoas que eu olho os storys e fico pensando COMO que nao pegou covid ainda????????,1
19," não, eles estão fazendo isolamento de 15 dias antes da estreia, e vão fazer teste pra covid na hora. quem testar positivo não entra",2
20,"A CUFA está em todo território nacional  e em parceria com a  vem fazendo a diferença nessa pandemia. Desde o início, mobilizando e contribuindo para minimizar os danos causados pela Covid-19. As doações e arrecadações permanecem. ",3
21, devo ter covid não chega perto,2
22,Que lindo! Em angra já acharam a cura do covid 🙏🙏🙏,1
23, Os fatos. Eu entendo a parte de não gravar por conta do covid. Mas é inegável que eles deixaram um casal de lado porque conseguiram concluir todas as cenas do outro,2
24," em casa, firme e forte. com pena dos fracos que ""nao aguentam mais falar de covid"" e seguem matando.",3
25,sou do Ceará e até onde sei aqui é o 3° estado com maior índice do covid!! mana esse blogueiro ai ta locão no álcool só pode ,2
